Movie_Title,YR_Released,Rating,Num_Reviews,Movie_ID,Record,Runtime
Code Name: K.O.Z.,2015,1.4,24623,tt4458206,Bottom 250 Movies,114
Saving Christmas,2014,1.5,12765,tt4009460,Bottom 250 Movies,80
Superbabies: Baby Geniuses 2,2004,1.6,26505,tt0270846,Bottom 250 Movies,88
Daniel the Wizard,2004,1.6,13295,tt0421051,Bottom 250 Movies,81
Manos: The Hands of Fate,1966,1.7,31808,tt0060666,Bottom 250 Movies,70
Pledge This!,2006,1.7,15836,tt0417056,Bottom 250 Movies,91
Dünyayi Kurtaran Adam'in Oglu,2006,1.8,14110,tt0808240,Bottom 250 Movies,110
Foodfight!,2012,1.8,5740,tt0249516,Bottom 250 Movies,91
Birdemic: Shock and Terror,2010,1.8,15919,tt1316037,Bottom 250 Movies,105
Álom.net,2009,1.9,8502,tt1309000,Bottom 250 Movies,
Titanic - La leggenda continua,2000,1.9,8421,tt0330994,Bottom 250 Movies,90
Disaster Movie,2008,1.9,77553,tt1213644,Bottom 250 Movies,87
Zombie Nation,2004,1.9,7730,tt0463392,Bottom 250 Movies,81
The Hottie & the Nottie,2008,1.9,34098,tt0804492,Bottom 250 Movies,91
Keloglan Karaprens'e Karsi,2006,1.9,8502,tt0470833,Bottom 250 Movies,105
From Justin to Kelly,2003,1.9,23920,tt0339034,Bottom 250 Movies,81
A Fox's Tale,2008,1.9,7953,tt0830861,Bottom 250 Movies,85
Ram Gopal Varma's Indian Flames,2007,1.9,6028,tt0473310,Bottom 250 Movies,171
Going Overboard,1989,2,10938,tt0096870,Bottom 250 Movies,99
Emret Komutanim: Sah Mat,2007,2,6354,tt0953989,Bottom 250 Movies,100
Attack of the Jurassic Shark,2012,2,2983,tt2071491,Bottom 250 Movies,75
Potato Salad,2015,2,5854,tt4404474,Bottom 250 Movies,81
Ben & Arthur,2002,2,7036,tt0364986,Bottom 250 Movies,85
La leggenda del Titanic,1999,2,2883,tt1623780,Bottom 250 Movies,84
Himmatwala,2013,2,6583,tt2344678,Bottom 250 Movies,150
Birdemic 2: The Resurrection,2013,2,3251,tt1674047,Bottom 250 Movies,90
Monster a-Go Go,1965,2.1,6344,tt0059464,Bottom 250 Movies,70
House of the Dead,2003,2.1,33007,tt0317676,Bottom 250 Movies,90
Who's Your Caddy?,2007,2.1,13980,tt0785077,Bottom 250 Movies,93
Humshakals,2014,2.2,6296,tt3036740,Bottom 250 Movies,159
Hobgoblins,1988,2.2,8733,tt0089280,Bottom 250 Movies,88
Glitter,2001,2.2,19906,tt0118589,Bottom 250 Movies,104
The Beast of Yucca Flats,1961,2.2,6707,tt0054673,Bottom 250 Movies,54
Son of the Mask,2005,2.2,43676,tt0362165,Bottom 250 Movies,94
Crossover,2006,2.2,8792,tt0473024,Bottom 250 Movies,95
